                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.8419,                 2.7115,                  3.428,                0.24541,                0.55556,                0.26411,                0.09177,                 2.4013,                 8.6993,                 3.1921,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.6281,                 2.6536,                 3.3718,                0.20421,                0.53086,                0.22877,                0.04348,                 2.8792,                 8.9598,                 3.6577,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.7295,                 2.7005,                 3.3002,                0.13933,                 0.4321,                0.12547,                0.02233,                 3.1644,                 5.5566,                 4.1645,               0.000614,               0.000614,               0.000614
                     38,                 2.6838,                 2.7425,                 3.3913,                0.11146,                0.25926,                0.07831,                0.01344,                 3.3566,                 5.2766,                  4.753,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.4817,                 2.8079,                 3.2996,                0.06362,                0.17284,                0.04087,                0.00654,                 3.5075,                 7.1406,                 5.5161,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.6834,                  2.788,                 3.3449,                0.13208,                 0.1358,                0.06329,                0.01146,                 3.4709,                  6.357,                 5.1579,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.5343,                 3.2604,                  3.315,                0.09104,                0.18519,                0.09561,                0.01549,                 3.4127,                 6.4973,                 4.7729,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.4162,                 2.9691,                 3.2301,                0.08829,                0.32099,                 0.1183,                0.01686,                 3.2757,                 7.5203,                 4.2624,               0.000416,               0.000416,               0.000416
                     43,                 2.4303,                 2.7158,                 3.1473,                0.17189,                0.65432,                0.24203,                0.04614,                 2.7186,                 6.6089,                 3.4287,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.2604,                 2.6883,                 3.1197,                0.14005,                0.65432,                0.21945,                0.03849,                 2.8243,                 4.5117,                 3.5403,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.0606,                  2.536,                  2.976,                 0.1092,                0.58025,                 0.1822,                0.02791,                 3.1153,                 3.8309,                 3.9848,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.1152,                 2.5823,                 3.0033,                0.10341,                0.59259,                0.17673,                0.02806,                 3.2016,                 3.4019,                 4.2144,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.1643,                 2.7293,                 3.0094,                0.10286,                0.61728,                0.20841,                0.03383,                 3.1919,                 3.1736,                 4.1995,               0.000218,               0.000218,               0.000218
                     48,                 1.9023,                 2.4354,                 2.8798,                0.16499,                0.58025,                0.18934,                0.02896,                 3.1151,                  3.006,                  4.047,              0.0001784,              0.0001784,              0.0001784
                     49,                  2.042,                 2.4125,                 2.9555,                0.14769,                 0.5679,                0.16382,                0.02517,                  3.073,                 2.9926,                 3.9952,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.9584,                 2.3818,                 2.9016,                0.17419,                0.55556,                0.17538,                0.02761,                 3.0121,                 2.9914,                 3.9037,               9.92e-05,               9.92e-05,               9.92e-05
